Name	Time signature	Feel	Default tempo	Long name	Genre	Group	Other genres
FASTROK1	4/4	ev8	160	Fast Rock 1 - Even 8, 60s Rock	Blues	Pop	Heavy Rock
FATS_DOM	4/4	sw8	150	Fats Domino Style	Blues	Pop	Blues
Favorabl	4/4	ev16	87	Favorable - Brit 80s Slow Ev.16	Folk	Pop	Lite Pop
Fernando	4/4	ev16	108	Fernando - LA Pop Jazz	Jazz	Jazz	Fusion
Fields	4/4	ev16	100	Fields - Even 16ths 80s British Rock	Lite Pop	Pop	Lite Pop
FINGER_8	4/4	ev8	140	Fingerpicking Acoustic Guitar 8th Arps	Lite Pop	Pop	Lite Pop
FIREWIND	4/4	ev16	60	Firewind - Slow 16ths Pop Rock	Lite Pop	Pop	Lite Pop
Flashed	4/4	ev8	140	Flashed - Driving 70s Classic Rock	Heavy Rock	Pop	Heavy Rock
Float1	4/4	ev16	80	Float1 - New Age Soundtrack Style	Lite Pop	Pop	New Age
Florida1	4/4	ev8	115	Florida1 - Ev.8 Med-Slow Pop Rock	Lite Pop	Pop	Lite Pop
FLORIDAS	4/4	ev16	85	Floridas - 16th Ballad Southern Gospel	Country	Country	Country Ballad,Country Contemporary,Gospel,Worship,Lite Pop,Lite Pop,Gospel
FLOYD	4/4	sw8	85	Floyd Cramer Piano	Country	Country	Country Ballad,Country Classic
FLUTHER!	4/4	sw8	140	Fluther - Celtic 2-Beat Bounce	Celtic	Country	Celtic
Fnk_150	4/4	ev16	150	Funk at T=150 - Fast Ev.16 Funk	Funk	Jazz	Funk
Fnk_300	4/4	ev8	300	Funk at T=300 - Fast Ev.8 Funk	Funk	Jazz	Funk
Fnk_70	4/4	sw16	70	Funk at T=70 - Slow Funk	Funk	Jazz	R&B,Soul
FOLK	4/4	ev8	115	Folk Style	Folk	Country	Folk
Folk101P	4/4	ev8	110	Folk 101 w/ Piano - Unplugged	Folk	Country	Folk
FOLK12_8	4/4	sw8	75	Folk 12/8 - 60s Folk Groups	Folk	Country	Lite Pop
FolkBlu	4/4	sw8	100	Folk Blues - Unplugged	Blues	Country	Folk,Folk
FolkClub	4/4	ev16	100	Folk Club - Folk Style	Folk	Country	Folk
FOLKGUIT	4/4	ev8	92	Folk Guitar - 60's Brit Pop	Folk	Pop	Lite Pop
FolkRag	4/4	sw8	175	Folk Rag - Swing Folk Style	Country	Country	Folk,Folk
FOLK_ST8	4/4	ev8	170	Folk w/ Straight 8ths	Folk	Country	Folk
FolkTrio	4/4	sw8	170	Folk-Trio - Unplugged	Folk	Country	Folk
Folky+	4/4	ev16	86	Top 40 Modern Country Ballad	Country	Country	Country Ballad,Country Contemporary,Ballad
FOLKYJAZ	4/4	ev16	140	Folky Jazz - Fast Ev.16 Folk-Jazz	Folk	Country	Jazz,Fusion
FOREVER	4/4	ev16	68	Forever - Praise & Worship Style	Lite Pop	Pop	Worship,Pop,Worship
FORGIVEN	4/4	ev16	95	Forgiven - Praise & Worship Style	Folk	Pop	Worship,Lite Pop,Pop,Lite Pop,Worship,Lite Pop
FORRO_1	4/4	ev16	95	Forro_1 - World Styles - Brazilian	Latin	Jazz	World
FoxTrot1	4/4	sw8	116	FoxTrot1 - Easy Swing Foxtrot Dance	Jazz	Jazz	Jazz Swing
FREEDOM	4/4	sw8	120	Freedom - Reggae Smooth Jazz	Jazz	Jazz	Fusion,Smooth Jazz,Reggae,Reggae,Smooth Jazz
FreeJz1	4/4	sw8	240	Free Jazz 1 - Fast 'Free' Jazz	Jazz	Jazz	Jazz
FunFact	4/4	ev16	130	FunFact Euro-Tek	Modern Pop	Pop	Modern Pop
FUNK1	4/4	ev16	125	Funk 1	Funk	Pop	Funk
Funkafy	4/4	sw16	95	Funkafy - Slow, Swing 16 Bluesy Funk	Blues	Pop	Funk
FunkPop	4/4	ev16	110	Funk Pop - Funky Ev.16 Pop-Rock	Funk	Pop	Funk
FUNK_SEV	4/4	ev16	100	Funk Seventies	Funk	Pop	Funk
FUNKSEV2	4/4	ev16	120	Funk Seventies 2	Funk	Pop	Funk
FUNKSHF2	4/4	sw8	200	Funk Shuffle 2	Blues	Pop	Funk
FUNKWALK	4/4	ev16	115	Funk Walk - Even 16th Funk	Funk	Pop	Funk
Funky2	4/4	ev16	125	Funky 2 - Even 16th Pop-Rock Funk	Funk	Pop	Funk
Fus_250	4/4	ev8	250	Fusion at T=250 - Fast Fusion	Folk	Jazz	Funk,Jazz,Fusion,Fusion,Jazz
fusngrv1	4/4	sw16	110	Fusion Groove.STY	Jazz	Jazz	Jazz
FUSNSHF2	4/4	sw8	165	Fusion Shuffle 2	Funk	Jazz	Jazz,Fusion,R&B,Fusion,Jazz
FUSN_SHU	4/4	sw8	160	Fusion Shuffle	Funk	Jazz	Jazz,Fusion,R&B,Fusion,Jazz
FusnSoft	4/4	sw16	96	Fusion Soft	Funk	Pop	Jazz,Jazz Ballad,Fusion,R&B,Fusion,Jazz
FusnSw16	4/4	sw16	110	Fusion Swing 16ths (Fusion)	Funk	Jazz	Jazz,Fusion,R&B,Fusion,Jazz
GAITHERS	4/4	sw8	175	Gaithers - Medium-Uptempo Swing Southern Gospel	Country	Country	Gospel,Worship,Lite Pop,Gospel
GALOWAYS	4/4	sw8	155	Galoways - Easy Swing Southern Gospel	Country	Country	Gospel,Worship,Lite Pop,Gospel
GARNER	4/4	sw8	140	Errol Garner Piano Style	Jazz	Jazz	Jazz Swing
GARNER~	4/4	sw8	140	Garner Piano Trio w/ Brushes	Jazz	Jazz	Jazz Swing
Genis2	4/4	ev16	85	Genis2 - Slow Ev.16 80s Rock	Heavy Rock	Pop	Lite Pop
GENTRY!~	4/4	ev8	120	Gentry-Light Straight 8 Pop Guitar	Lite Pop	Pop	Lite Pop
GEO_FORM	4/4	sw8	200	Geo_Form Swing Ukulele Style	Country	Country	Country Classic,Folk,Jazz
George+	4/4	ev16	100	Sad Country Ballad +	Country	Country	Country Ballad,Country Classic
GeorgeM2	4/4	sw16	90	GeorgeM2 - 80s, Swing 16th Rock	Lite Pop	Pop	Pop
GEORGIA	12/8	sw8	72	Georgia Style	Lite Pop	Pop	Lite Pop
GITARP16	4/4	ev16	87	12-String Guitar - 16th Arps	Folk	Pop	Pop,Lite Pop
GitGroov	4/4	ev16	100	Guitar Groove - Swing 16ths Light Rock Guitar	Lite Pop	Pop	Lite Pop
GlamRok1	4/4	ev16	95	Glam Rock 1 - 16th Rock	Heavy Rock	Pop	Lite Pop
GlamRok2	4/4	ev8	120	Glam Rock 2 - Even 8ths	Heavy Rock	Pop	Lite Pop
Gloria	12/8	sw8	110	Gloria - Brit 80s Rock Shuffle	Lite Pop	Pop	Lite Pop
GLORY	4/4	ev16	100	Glory - Praise & Worship Style	Lite Pop	Pop	Worship,Worship
GOLDCITY	4/4	sw8	230	Goldcity - Fast Swing Southern Gospel/Country	Country	Country	Gospel,Worship,Lite Pop,Gospel
Golden	4/4	ev8	105	Golden - Slow Ev.8 Brit 80s Rock	Lite Pop	Pop	Pop,Ballad,Power Ballad
GoodCtry	4/4	sw16	95	Good 'n Country - Bluegrass Style	Country	Country	Bluegrass
GoodGrl+	4/4	ev16	105	Good Girl - Urban Pop +	Hip Hop	Pop	Pop
GOODTIME	4/4	ev16	95	Good Time - Smooth Jazz - Groove	Jazz	Jazz	Fusion,Smooth Jazz,Lite Pop,Smooth Jazz
GOSPEL1	4/4	sw8	210	Uptempo Gospel Style	Blues	Pop	Worship,Lite Pop,Gospel
GRACE	4/4	ev16	100	Grace - Praise & Worship Style	Lite Pop	Pop	Worship,Worship
Green	4/4	ev16	105	Green - Gentle 4/4 New Age Folk-Piano	Folk	Pop	New Age,Lite Pop
Gritty	4/4	sw8	160	Gritty - 4-to-the-Bar Shuffle	Blues	Country	Folk
GROVER	4/4	ev16	90	Grover Pop Style	Jazz	Jazz	Fusion,Lite Pop
GroverW	4/4	ev16	120	Grover w/ (Fusion)	Jazz	Jazz	Fusion,Fusion
GuagFok	4/4	ev16	102	Guaguanco Folk - Traditional Cuban	Latin	Jazz	Salsa,Folk
GuagMod	4/4	ev16	102	Guaguanco Modern - Cuban Dance	Latin	Jazz	Salsa
Guajir2	4/4	ev8	120	Salsa Guarjira 2 - Folkloric Cuban	Latin	Jazz	Salsa,Folk
Guajira1	4/4	ev8	130	Guajira1 - Cuban Latin Guajira	Latin	Jazz	Latin
Guara23	4/4	ev8	200	Guaracha w/ 2-3 Clave Pattern	Latin	Jazz	Salsa
Guara32	4/4	ev8	180	Guaracha w/ 3-2 Clave Pattern	Latin	Jazz	Salsa
GuitBosa	4/4	ev8	190	Guitar Bossa - Fast Contemporary Bossa	Jazz	Jazz	Latin,Bossa
GuitCha	4/4	ev8	115	Guitar Cha Cha - Ev.8, Med-Slow	Latin	Jazz	Latin
GUMBO	4/4	sw8	170	Gumbo Cajun' Style	Country	Country	Country Classic,New Orleans,Blues
Gumshoe	4/4	sw8	130	Gumshoe - Brit 80s Reggae-Rock	Reggae	Pop	Reggae
GWEN1	4/4	ev8	100	Gwen 1 - Hip Hop Dance Style	Hip Hop	Pop	Modern Pop,Modern Pop
HALELUIA	4/4	ev16	100	Hallelujah - Praise & Worship Style	Lite Pop	Pop	Worship,Worship
HAPPY	4/4	sw8	120	Happy - Med. Folk-Pop Shuffle	Folk	Jazz	Lite Pop
HAWAISLO	4/4	ev8	110	Hawaii Slow - Pop Hawaiian	Country	Country	Country Classic,Folk,Latin,Pop,Lite Pop
Hbilly+	4/4	ev8	140	Classic Country Blues Rock +	Country	Country	Country Classic,Blues
Healing1	4/4	ev8	100	Healing - Meditative Soundtrack Style	Lite Pop	Pop	New Age
HEAVYMET	4/4	ev8	130	Heavy Metal Trio	Heavy Rock	Pop	Heavy Rock
HeldBosa	4/4	ev8	155	Held Bossa - Bossa Style w/ Sustained Instruments	Jazz	Jazz	Bossa
Herbie2	4/4	ev8	120	Herbie 2 - Funky Jazz Even 8th Groove	Funk	Jazz	Jazz,Fusion
HHop_Med	4/4	ev16	120	Hip Hop Medium - Hip Hop Dance Style	Hip Hop	Pop	Modern Pop
HIGHER	4/4	sw16	85	Higher - Smooth Jazz/Hip Hop	Hip Hop	Jazz	Jazz,Smooth Jazz,Modern Pop,Jazz,Smooth Jazz
HighFly	4/4	ev16	120	HighFly - Brit 80s Ev.16 Rock	Heavy Rock	Pop	Heavy Rock
Highway	4/4	ev8	145	Highway - 80s Ev8 Classic Rock	Heavy Rock	Pop	Heavy Rock
Hind+	4/4	ev8	70	Slow Mid - Tempo Rock-Country +	Country	Country	Country Ballad,Country Contemporary,Ballad
HIPHOP_1	4/4	sw16	200	Hip Hop 1	Funk	Pop	Hip Hop,Modern Pop,Hip Hop
HIPHOP_2	4/4	sw16	120	Hip Hop 2	Funk	Pop	Hip Hop,Modern Pop,Hip Hop
HIPHOP3	4/4	sw16	95	Hip Hop 3 - Swing 16ths Groove	Funk	Pop	Hip Hop,Hip Hop
HIPHOP4	4/4	sw16	95	Hip Hop 4 - Funky Hip Hop Groove	Funk	Pop	Hip Hop,Hip Hop
HIPHOP5	4/4	sw16	90	Hip Hop 5 - Funky Swing 16ths Hip-Hop	Funk	Pop	Hip Hop,Hip Hop
HIPHOP6	4/4	ev8	120	Hip Hop 6 - Bright Beat Hip Hop	Hip Hop	Pop	Modern Pop
HIPTRIP	4/4	ev16	100	Hip Trip - Even 16ths Funk	Funk	Pop	Hip Hop
Hive+	4/4	ev8	140	Rockabilly Country+	Country	Country	Country Classic,Rockabilly
HOMEWARD	4/4	sw16	120	Homeward - Fast Swing 16ths Pop	Country	Country	Country Contemporary
Horace1	4/4	ev8	130	Horace1 - Loose Ev.8 Jazz Bossa	Jazz	Jazz	Bossa
HOSANNA	4/4	ev8	155	Hosanna - Praise & Worship Style	Country	Country	Gospel,Worship,Lite Pop,Worship,Lite Pop
HotButer	4/4	ev16	130	Hot Butter - Euro-Tek	Modern Pop	Pop	Modern Pop
HOUSE_1	4/4	ev16	120	House 1 (Rap)	Funk	Pop	Modern Pop
HOWLINW	4/4	ev8	105	Howlin' - Driving Straight 8 Blues	Blues	Pop	Blues
HRPORK44	4/4	ev16	80	Orchestral 4/4 w/ Harp	Classical	Country	Classical
Insight	4/4	ev8	105	Insight - New Age Indian Raga	Lite Pop	Pop	New Age,World,World
Instinct	4/4	ev16	120	Instinct - Euro-Tek	Modern Pop	Pop	Disco
Invited	4/4	ev8	130	Invited - Classic Ev.8 Rock	Heavy Rock	Pop	Heavy Rock
Islands	12/8	sw8	70	Islands - Slow 12/8 60's Pop	Lite Pop	Pop	Pop
ISRAEL2	4/4	ev16	130	Israeli 2 - World Styles 2	World	Country	Klezmer
ITAL~POP	4/4	ev8	110	Italian Pop - World Styles 2	Jazz	Jazz	Jazz Ballad,Fusion,World
JACO_JAZ	4/4	ev16	125	Jaco Jazz Style	Jazz	Jazz	Fusion,Latin
JACQUE	4/4	ev16	95	Jacque - Praise & Worship Style	Jazz	Jazz	Latin,Worship,Lite Pop,Worship,Lite Pop
j!alhirt	4/4	sw8	165	Vintage New Orleans Jazz-Pop	Blues	Jazz	New Orleans
JamGrass	4/4	ev16	140	Jam Grass - Bluesy Bluegrass	Country	Country	Bluegrass,Blues
JAMMIN	4/4	sw16	95	Jammin - Smooth Jazz - Easy	Funk	Jazz	Jazz,Smooth Jazz,R&B,Jazz,Smooth Jazz
JanDeen1	4/4	ev8	150	Jan Deen 1 - 60s Rock - Fast Ev.8	Country	Country	Country Contemporary,Heavy Rock
Janeiro	4/4	ev16	120	Janeiro - Even 16 Med Latin Samba	Latin	Jazz	Samba
Jaz_250	4/4	sw8	250	Jazz at T=250 - Fast Jazz	Jazz	Jazz	Bebop
Jaz_60	4/4	sw8	60	Jazz at T=60 - Slow Jazz	Jazz	Jazz	Jazz Ballad
JAZCOOL	4/4	sw8	160	Jazz Cool Style	Jazz	Jazz	Bebop,Jazz Swing
JAZFOURA	4/4	sw8	180	Jazz Fours A - Trading 4s Variant	Jazz	Jazz	Bebop,Jazz Swing
JAZFOURB	4/4	sw8	180	Jazz Fours B - Trading 4s Variant	Jazz	Jazz	Bebop,Jazz Swing
JAZFOURC	4/4	sw8	180	Jazz Fours C - Trading 4s Variant	Jazz	Jazz	Bebop,Jazz Swing
JAZFOURS	4/4	sw8	175	Jazz Fours Style	Jazz	Jazz	Bebop,Jazz Swing
JAZQUINT	4/4	sw8	200	Jazz Quintet	Jazz	Jazz	Jazz Swing
JazSalsa	4/4	ev16	115	Jazz Salsa - Latin Ev.16 Salsa	Jazz	Jazz	Latin,Latin
JAZSAMBA	4/4	ev16	120	Jazz Samba Style	Jazz	Jazz	Latin,Latin,Samba
JAZSIMP	4/4	sw8	120	Jazz Simple Style	Jazz	Jazz	Bebop,Jazz Swing
JAZSW2_G	4/4	sw8	140	Jazz Swing 2G	Jazz	Jazz	Jazz Swing
JAZZBAL1	4/4	sw8	70	Jazz Ballad 1 Style	Jazz	Jazz	Jazz Ballad,Jazz Swing
JAZZBAL2	4/4	sw8	70	Jazz Ballad 2 Style	Jazz	Jazz	Jazz Ballad,Jazz Swing
JAZZFAST	4/4	sw8	290	Jazz Fast Style	Jazz	Jazz	Bebop
JAZZ~QT	4/4	sw8	160	Jazz Quartet - Midtempo Jazz Swing	Jazz	Jazz	Jazz Swing
JazzRok1	4/4	ev16	130	Jazz Rock 1 Style	Funk	Pop	Jazz,Fusion
JAZZROK2	4/4	ev16	130	Jazz Rock 2 Style	Funk	Pop	Jazz,Fusion
JAZZSLOW	4/4	sw8	90	Jazz Slow Style	Jazz	Jazz	Jazz Ballad,Jazz Swing
Jazzy1	4/4	sw8	105	Jazzy1 - Cool Jazz Soundtrack Style	Jazz	Jazz	Smooth Jazz,New Age,Lite Pop
JBal_45	4/4	sw8	60	Jazz Ballad at T=45 - Slow Ballad	Jazz	Jazz	Jazz Ballad,Jazz Swing
J_BASIE1	4/4	sw8	135	Basie Big Band	Jazz	Jazz	Big Band,Jazz Swing
J_BASIE2	4/4	sw8	135	Basie Big Band	Jazz	Jazz	Big Band,Jazz Swing
J!~BASIN	4/4	sw8	165	Vintage Jazz - Basin' Easy 40s & 50s Swing	Blues	Jazz	New Orleans
j!~benny	4/4	sw8	260	Vintage Jazz - Benny Fast 30s Swing	Jazz	Jazz	Jazz
JB_GOODE	4/4	ev8	175	Johnny B. Goode Style	Blues	Pop	Blues
J_BOPPIN	4/4	sw8	170	Jazz Boppin - Bebop Quartet	Jazz	Jazz	Bebop
JBr_300	4/4	sw8	300	Jazz Brushes at T=300 - Fast Swing	Jazz	Jazz	Jazz Swing
J~BREEZY	4/4	sw8	130	Jazz Breezy - Jazz Swing w/ 5 Instruments	Jazz	Jazz	Jazz Swing
J_CARIBE	4/4	ev8	165	Caribe, Jazz Bossa Style	Jazz	Jazz	Latin,Bossa
J_CASH	4/4	ev16	125	Johnny Cash Style	Country	Country	Country Classic
J~CELLAR	4/4	sw8	150	Jazz Cellar - Piano Trio w/ Brushes	Jazz	Jazz	Jazz Swing
J!~CLUB	4/4	sw8	85	Vintage Jazz - 30s & 40s Swing Ballad	Jazz	Jazz	Jazz
J_COMBO	4/4	sw8	140	Jazz Combo - Med. Jazz Quintet	Jazz	Jazz	Bebop,Jazz Swing
